order_id,order_date,ship_date,customer_id,segment,city,state,region,category,product_name,sales,quantity,discount,profit,unit_price,latitude,longitude,year,month,quarter,month_name,profit_margin
ORD-10001,2021-04-02,2021-04-04,CUST-13905,Consumer,New York,NY,East,Office Supplies,Binders,36.86,4,0.2,9.76,11.52,40.6685,-73.8157,2021,4,2,Apr,0.2648
ORD-10006,2020-02-24,2020-02-29,CUST-46463,Home Office,Philadelphia,PA,East,Technology,Cameras,5332.33,7,0.3,299.42,1088.23,39.8798,-75.2302,2020,2,1,Feb,0.0562
ORD-10009,2021-07-23,2021-07-25,CUST-55082,Corporate,Philadelphia,PA,East,Office Supplies,Scissors,83.72,7,0.0,40.1,11.96,40.1802,-75.3008,2021,7,3,Jul,0.479
ORD-10014,2020-09-12,2020-09-16,CUST-35203,Home Office,Chicago,IL,Central,Office Supplies,Tape,131.04,3,0.15,40.25,51.39,41.711,-87.7897,2020,9,3,Sep,0.3072
ORD-10016,2020-06-12,2020-06-19,CUST-58520,Corporate,New York,NY,East,Office Supplies,Paper Reams,265.27,8,0.15,77.48,39.01,40.136,-74.5275,2020,6,2,Jun,0.2921
ORD-10020,2023-10-31,2023-11-06,CUST-59735,Home Office,Dallas,TX,Central,Office Supplies,Binders,179.04,3,0.0,66.58,59.68,32.4762,-96.7057,2023,10,4,Oct,0.3719
ORD-10021,2023-11-03,2023-11-06,CUST-37653,Consumer,St. Louis,MO,Central,Office Supplies,Folders,51.59,2,0.1,14.17,28.66,38.2063,-89.7603,2023,11,4,Nov,0.2747
ORD-10026,2023-08-09,2023-08-13,CUST-66155,Corporate,Dallas,TX,Central,Office Supplies,Tape,211.95,5,0.1,65.43,47.1,32.8003,-97.2274,2023,8,3,Aug,0.3087
ORD-10031,2022-10-07,2022-10-08,CUST-18326,Home Office,Nashville,TN,South,Technology,Tablets,2077.76,2,0.2,68.11,1298.6,36.2033,-87.1253,2022,10,4,Oct,0.0328
ORD-10034,2021-05-29,2021-06-03,CUST-24621,Home Office,Austin,TX,South,Office Supplies,Tape,64.22,1,0.1,21.76,71.36,30.0898,-97.8275,2021,5,2,May,0.3388
ORD-10039,2021-06-23,2021-06-28,CUST-36071,Consumer,Minneapolis,MN,Central,Technology,Headphones,2830.1,6,0.4,-368.15,786.14,45.5357,-93.274,2021,6,2,Jun,-0.1301
ORD-10041,2020-01-02,2020-01-07,CUST-17592,Home Office,Seattle,WA,West,Technology,Cameras,7508.95,11,0.1,654.14,758.48,47.8568,-122.6963,2020,1,1,Jan,0.0871
ORD-10046,2022-09-22,2022-09-29,CUST-31643,Home Office,Phoenix,AZ,West,Technology,Smartphones,3082.97,3,0.3,-29.46,1468.08,32.8621,-112.4685,2022,9,3,Sep,-0.0096
ORD-10050,2023-01-09,2023-01-16,CUST-77839,Consumer,Kansas City,MO,Central,Office Supplies,Scissors,329.51,7,0.15,95.51,55.38,39.3215,-94.5286,2023,1,1,Jan,0.2899
ORD-10052,2021-11-23,2021-11-24,CUST-18834,Consumer,Atlanta,GA,South,Technology,Monitors,16210.61,19,0.0,3472.6,853.19,33.6597,-84.8336,2021,11,4,Nov,0.2142
ORD-10057,2021-07-24,2021-07-30,CUST-71953,Consumer,Boston,MA,East,Technology,Cameras,2885.12,16,0.5,-623.16,360.64,42.2218,-70.7429,2021,7,3,Jul,-0.216
ORD-10058,2020-07-17,2020-07-23,CUST-17944,Consumer,Denver,CO,West,Furniture,Filing Cabinets,4851.7,14,0.0,1538.87,346.55,39.2111,-104.8828,2020,7,3,Jul,0.3172
ORD-10059,2021-01-27,2021-01-29,CUST-68082,Consumer,Memphis,TN,South,Furniture,Desks,6067.93,18,0.05,1460.83,354.85,34.9469,-89.8665,2021,1,1,Jan,0.2407
ORD-10060,2020-07-10,2020-07-17,CUST-31579,Consumer,New York,NY,East,Office Supplies,Folders,134.59,8,0.2,39.24,21.03,40.9894,-74.2618,2020,7,3,Jul,0.2916
ORD-10061,2021-08-07,2021-08-11,CUST-85914,Corporate,Atlanta,GA,South,Furniture,Sofas,6921.05,18,0.05,1692.47,404.74,33.8494,-84.0973,2021,8,3,Aug,0.2445
ORD-10062,2023-04-11,2023-04-15,CUST-34356,Consumer,Jacksonville,FL,East,Furniture,Office Chairs,4477.49,17,0.4,-196.82,438.97,30.2743,-81.9819,2023,4,2,Apr,-0.044
ORD-10067,2020-09-02,2020-09-07,CUST-78522,Corporate,Charlotte,NC,East,Technology,Monitors,3557.72,8,0.5,-853.18,889.43,35.4738,-80.4331,2020,9,3,Sep,-0.2398
ORD-10068,2021-06-27,2021-07-01,CUST-70068,Consumer,Houston,TX,Central,Technology,Keyboards,5119.75,5,0.0,1107.91,1023.95,30.0611,-95.2615,2021,6,2,Jun,0.2164
ORD-10072,2021-06-27,2021-06-29,CUST-81200,Home Office,New York,NY,East,Office Supplies,Paper Reams,392.52,12,0.0,144.35,32.71,40.8184,-73.5486,2021,6,2,Jun,0.3678
ORD-10075,2023-09-29,2023-10-06,CUST-25129,Consumer,Kansas City,MO,Central,Office Supplies,Folders,1357.56,18,0.0,540.59,75.42,39.5694,-95.3659,2023,9,3,Sep,0.3982
ORD-10080,2021-07-31,2021-08-05,CUST-74032,Corporate,Jacksonville,FL,East,Office Supplies,Staplers,331.19,7,0.1,119.59,52.57,30.3561,-81.7397,2021,7,3,Jul,0.3611
ORD-10085,2020-03-31,2020-04-01,CUST-66057,Corporate,Chicago,IL,Central,Technology,Mice,8994.52,11,0.3,-138.62,1168.12,41.2537,-87.7159,2020,3,1,Mar,-0.0154
ORD-10088,2020-03-14,2020-03-21,CUST-15229,Home Office,New York,NY,East,Technology,Tablets,9662.11,12,0.1,1525.22,894.64,41.1534,-74.1655,2020,3,1,Mar,0.1579
ORD-10090,2020-07-29,2020-08-01,CUST-31299,Home Office,Dallas,TX,Central,Office Supplies,Paper Reams,927.9,18,0.0,333.65,51.55,32.6295,-96.5254,2020,7,3,Jul,0.3596
ORD-10092,2021-11-11,2021-11-18,CUST-24168,Home Office,Denver,CO,West,Technology,Tablets,15286.82,14,0.1,2391.43,1213.24,39.5811,-104.826,2021,11,4,Nov,0.1564
ORD-10096,2022-07-31,2022-08-03,CUST-53025,Consumer,Atlanta,GA,South,Furniture,Filing Cabinets,6658.74,10,0.05,1763.59,700.92,34.0406,-84.6006,2022,7,3,Jul,0.2649
